#Particules        #temps
100            276.896
200            553.791
300            830.687
400            1107.58
500            1384.48
600            1661.37
700            1938.27
800            2215.16
900            2492.06
1000            2768.96
1100            3045.85
1200            3322.75
1300            3599.64
1400            3876.54
1500            4153.43
1600            4430.33
1700            4707.22
1800            4984.12
1900            5261.02
2000            5537.91
2100            5814.81
2200            6091.7
2300            6368.6
2400            6645.49
2500            6922.39
2600            7199.28
2700            7476.18
2800            7753.08
2900            8029.97
3000            8306.87
3100            8583.76
3200            8860.66
3300            9137.55
3400            9414.45
3500            9691.34
3600            9968.24
3700            10245.1
3800            10522
3900            10798.9
4000            11075.8
4100            11352.7
4200            11629.6
4300            11906.5
4400            12183.4
4500            12460.3
4600            12737.2
4700            13014.1
4800            13291
4900            13567.9
5000            13844.8
5100            14121.7
5200            14398.6
5300            14675.5
5400            14952.4
5500            15229.3
5600            15506.2
5700            15783
5800            16059.9
5900            16336.8
6000            16613.7
6100            16890.6
6200            17167.5
6300            17444.4
6400            17721.3
6500            17998.2
6600            18275.1
6700            18552
6800            18828.9
6900            19105.8
7000            19382.7
7100            19659.6
7200            19936.5
7300            20213.4
7400            20490.3
7500            20767.2
7600            21044.1
7700            21321
7800            21597.9
7900            21874.7
8000            22151.6
8100            22428.5
8200            22705.4
8300            22982.3
8400            23259.2
8500            23536.1
8600            23813
8700            24089.9
8800            24366.8
8900            24643.7
9000            24920.6
9100            25197.5
9200            25474.4
9300            25751.3
9400            26028.2
9500            26305.1
9600            26582
9700            26858.9
9800            27135.8
9900            27412.7
10000            27689.6
10100            27966.5
10200            28243.3
10300            28520.2
10400            28797.1
10500            29074
10600            29350.9
10700            29627.8
10800            29904.7
10900            30181.6
11000            30458.5
11100            30735.4
11200            31012.3
11300            31289.2
11400            31566.1
11500            31843
11600            32119.9
11700            32396.8
11800            32673.7
11900            32950.6
12000            33227.5
12100            33504.4
12200            33781.3
12300            34058.2
12400            34335.1
12500            34611.9
12600            34888.8
12700            35165.7
12800            35442.6
12900            35719.5
13000            35996.4
13100            36273.3
13200            36550.2
13300            36827.1
13400            37104
13500            37380.9
13600            37657.8
13700            37934.7
13800            38211.6
13900            38488.5
14000            38765.4
14100            39042.3
14200            39319.2
14300            39596.1
14400            39873
14500            40149.9
14600            40426.8
14700            40703.6
14800            40980.5
14900            41257.4
